domainId,catId,name,parent,highestRank,productCount,contextFreeName,lowestRank
1,157161011,Physiology,157152011,6967553,5342,Physiology,9614
1,157159011,Nosology,157152011,6796177,1134,Nosology,22035
1,157158011,Microbiology,157152011,6944714,3405,Microbiology Science,2297
1,157156011,Genetics,157152011,6971543,3825,Genetics,6085
1,157157011,Immunology,157152011,6975804,5322,Immunology,1238
1,157160011,Pathophysiology,157152011,6917154,814,Pathophysiology,25135
1,157153011,Anatomy,157152011,6974092,4469,Anatomy,2032
1,157154011,Biochemistry,157152011,6975804,5883,Biochemistry,4029
1,157155011,Embryology,157152011,6923719,875,Embryology,53558
1,157142011,Alternative & Holistic,157119011,6977074,15237,Alternative & Holistic Medicine,896
1,157148011,Hypnotherapy,157142011,6781859,600,Hypnosis Psychology & Counseling,11093
1,157147011,Holistic Medicine,157142011,6909480,3772,Holistic Medicine,1346
1,157145011,Diet Therapy,157142011,6954860,7416,Diet Therapy,1034
1,157143011,Acupuncture,157142011,6945114,1672,Acupuncture,339
1,157151011,Osteopathy,157142011,6940529,1149,Osteopathy,1636
1,157149011,Mind-Body Medicine (Psychoneuroimmunology),157142011,5963467,576,Mind-Body Connection,339
1,157144011,Chiropractic,157142011,6858574,930,Chiropractic,339
1,157120011,Administration & Policy,157119011,6931324,7133,Medical Administration & Policy,2582
1,157127011,Medical History & Records,157120011,6916499,1009,Medical History & Records,5033
1,157129011,Public Health,157120011,6965056,16206,Public Health,389
1,157123011,Health Policy,157120011,6964379,4515,Health Policy,3070
1,157126011,Medicaid & Medicare,157120011,6914789,1067,Medicaid & Medicare,40019
1,157125011,Hospital Administration,157120011,6902865,1961,Hospital Administration,2478
1,157124011,Health Risk Assessment,157120011,6881278,1348,Health Risk Assessment,9445
1,157122011,Health Care Delivery,157120011,6965034,10593,Health Care Delivery,3070
1,157128011,Practice Management & Reimbursement,157120011,6939066,1210,Practice Management & Reimbursement,15254
1,157208011,Nursing,157119011,6962290,8614,Nursing,3304
1,157228011,Pharmacology,157208011,6940304,769,Nursing Pharmacology,44906
1,157231011,Research & Theory,157208011,6873800,1165,Nursing Research & Theory,19247
1,157232011,Test Preparation & Review,157208011,6841319,2102,Nursing Reviews & Study Guides,9770
1,157215011,Gerontology,157208011,6903996,1010,Nursing Gerontology,7523
1,157227011,Pediatric & Neonatal,157208011,6951992,894,Pediatric & Neonatal Nursing,41593
1,157223011,Nurse & Patient,157208011,6802588,1150,Nurse & Patient,6565
1,157220011,"Maternity, Perinatal & Women's Health",157208011,6940304,1817,Maternity & Women's Health Nursing,1481
